selection,limit,mutation_dims,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
tournament 5,35,3,100,50,rosenbrock,3,0.038429,0.121162,0.148779,0.140971,1.198860
tournament 3,185,1,100,50,rosenbrock,3,0.001854,0.020911,0.022777,0.039596,1.027115
tournament 5,40,1,100,50,rosenbrock,3,0.005199,0.036860,0.037680,0.043641,1.387915
tournament 5,15,2,100,50,rosenbrock,3,0.011006,0.239438,0.263181,0.402675,1.712650
tournament 3,125,3,100,50,rosenbrock,3,0.004212,0.042544,0.052501,0.075758,0.893435
tournament 3,190,2,100,50,rosenbrock,3,0.010669,0.055557,0.082630,0.059324,0.841725
tournament 3,185,2,100,50,rosenbrock,3,0.019784,0.066407,0.072870,0.051764,1.068545
tournament 3,190,1,100,50,rosenbrock,3,0.003173,0.030144,0.029946,0.050372,0.997975
tournament 3,200,2,100,50,rosenbrock,3,0.007428,0.071371,0.086114,0.082698,0.872300
tournament 3,75,3,100,50,rosenbrock,3,0.006196,0.088335,0.110241,0.130715,0.980765
tournament 5,10,1,100,50,rosenbrock,3,0.051122,0.184977,0.180728,0.156224,0.888645
tournament 3,190,3,100,50,rosenbrock,3,0.000315,0.050457,0.053153,0.044000,1.126015
tournament 3,135,2,100,50,rosenbrock,3,0.015645,0.059637,0.068860,0.051396,1.071810
tournament 5,65,1,100,50,rosenbrock,3,0.003319,0.015476,0.015329,0.023567,1.040550
tournament 3,140,2,100,50,rosenbrock,3,0.002162,0.069644,0.099016,0.080960,1.095905
tournament 3,200,3,100,50,rosenbrock,3,0.003951,0.045152,0.049158,0.052492,1.107625
tournament 5,65,2,100,50,rosenbrock,3,0.007654,0.048765,0.062675,0.049429,1.204615
tournament 3,150,2,100,50,rosenbrock,3,0.006377,0.052531,0.049212,0.093412,1.051885
tournament 5,70,3,100,50,rosenbrock,3,0.009820,0.074503,0.099312,0.089142,1.023875
tournament 5,5,3,100,50,rosenbrock,3,0.025397,0.807369,0.936006,0.732372,1.225085
tournament 5,15,3,100,50,rosenbrock,3,0.036594,0.239636,0.267057,0.227129,0.980300
tournament 5,75,1,100,50,rosenbrock,3,0.001299,0.015388,0.014090,0.024100,1.056845
tournament 5,75,3,100,50,rosenbrock,3,0.002399,0.061925,0.073632,0.081904,0.952505
tournament 5,30,1,100,50,rosenbrock,3,0.009011,0.055850,0.065507,0.067863,0.868735
tournament 3,175,1,100,50,rosenbrock,3,0.011711,0.029823,0.029750,0.021101,0.813050
tournament 5,25,2,100,50,rosenbrock,3,0.015741,0.155427,0.170898,0.126773,0.940345
tournament 5,20,1,100,50,rosenbrock,3,0.018157,0.081041,0.091211,0.123748,1.227975
tournament 5,25,1,100,50,rosenbrock,3,0.001164,0.086662,0.111234,0.125644,1.085165
tournament 5,20,3,100,50,rosenbrock,3,0.076355,0.180561,0.186374,0.122531,1.199265
tournament 5,80,2,100,50,rosenbrock,3,0.016726,0.078397,0.097023,0.042543,1.227780
tournament 5,25,3,100,50,rosenbrock,3,0.022589,0.191309,0.241210,0.116452,1.202035
tournament 5,30,2,100,50,rosenbrock,3,0.018695,0.222770,0.255578,0.156836,1.162860
tournament 5,30,3,100,50,rosenbrock,3,0.003873,0.103303,0.114203,0.089905,1.214905
tournament 5,40,3,100,50,rosenbrock,3,0.004332,0.098780,0.123579,0.115025,0.945930
tournament 5,95,2,100,50,rosenbrock,3,0.006593,0.046137,0.052156,0.086131,1.260865
tournament 3,195,1,100,50,rosenbrock,3,0.002155,0.024375,0.033806,0.032771,2.492565
